bikeid,left,right
SEA00222,SEA,00222
SEA00461,SEA,00461
SEA00316,SEA,00316
SEA00098,SEA,00098
SEA00136,SEA,00136
SEA00346,SEA,00346
SEA00182,SEA,00182
SEA00100,SEA,00100
SEA00159,SEA,00159
SEA00102,SEA,00102
SEA00442,SEA,00442
SEA00170,SEA,00170
SEA00334,SEA,00334
SEA00134,SEA,00134
SEA00080,SEA,00080
SEA00337,SEA,00337
SEA00261,SEA,00261
SEA00151,SEA,00151
SEA00289,SEA,00289
SEA00122,SEA,00122
SEA00082,SEA,00082
SEA00499,SEA,00499
SEA00294,SEA,00294
SEA00131,SEA,00131
SEA00306,SEA,00306
SEA00440,SEA,00440
SEA00283,SEA,00283
SEA00300,SEA,00300
SEA00244,SEA,00244
SEA00436,SEA,00436
SEA00293,SEA,00293
SEA00183,SEA,00183
SEA00093,SEA,00093
SEA00140,SEA,00140
SEA00165,SEA,00165
SEA00081,SEA,00081
SEA00063,SEA,00063
SEA00263,SEA,00263
SEA00200,SEA,00200
SEA00255,SEA,00255
SEA00305,SEA,00305
SEA00184,SEA,00184
SEA00276,SEA,00276
SEA00495,SEA,00495
SEA00438,SEA,00438
SEA00160,SEA,00160
SEA00105,SEA,00105
SEA00381,SEA,00381
SEA00105,SEA,00105
SEA00471,SEA,00471
SEA00051,SEA,00051
SEA00133,SEA,00133
SEA00462,SEA,00462
SEA00038,SEA,00038
SEA00429,SEA,00429
SEA00236,SEA,00236
SEA00085,SEA,00085
SEA00105,SEA,00105
SEA00271,SEA,00271
SEA00431,SEA,00431
SEA00369,SEA,00369
SEA00142,SEA,00142
SEA00461,SEA,00461
SEA00074,SEA,00074
SEA00444,SEA,00444
SEA00238,SEA,00238
SEA00391,SEA,00391
SEA00153,SEA,00153
SEA00034,SEA,00034
SEA00259,SEA,00259
SEA00358,SEA,00358
SEA00282,SEA,00282
SEA00215,SEA,00215
SEA00473,SEA,00473
SEA00231,SEA,00231
SEA00199,SEA,00199
SEA00357,SEA,00357
SEA00427,SEA,00427
SEA00088,SEA,00088
SEA00157,SEA,00157
SEA00203,SEA,00203
SEA00464,SEA,00464
SEA00086,SEA,00086
SEA00219,SEA,00219
SEA00230,SEA,00230
SEA00491,SEA,00491
SEA00173,SEA,00173
SEA00441,SEA,00441
SEA00222,SEA,00222
SEA00346,SEA,00346
SEA00072,SEA,00072
SEA00043,SEA,00043
SEA00485,SEA,00485
SEA00443,SEA,00443
SEA00317,SEA,00317
SEA00086,SEA,00086
SEA00207,SEA,00207
SEA00361,SEA,00361
SEA00449,SEA,00449
SEA00483,SEA,00483
SEA00107,SEA,00107
SEA00222,SEA,00222
SEA00473,SEA,00473
SEA00423,SEA,00423
SEA00145,SEA,00145
SEA00419,SEA,00419
SEA00205,SEA,00205
SEA00500,SEA,00500
SEA00060,SEA,00060
SEA00151,SEA,00151
SEA00374,SEA,00374
SEA00477,SEA,00477
SEA00341,SEA,00341
SEA00261,SEA,00261
SEA00219,SEA,00219
SEA00152,SEA,00152
SEA00410,SEA,00410
SEA00222,SEA,00222
SEA00320,SEA,00320
SEA00171,SEA,00171
SEA00153,SEA,00153
SEA00089,SEA,00089
SEA00089,SEA,00089
SEA00386,SEA,00386
SEA00326,SEA,00326
SEA00270,SEA,00270
SEA00311,SEA,00311
SEA00355,SEA,00355
SEA00205,SEA,00205
SEA00176,SEA,00176
SEA00154,SEA,00154
SEA00498,SEA,00498
SEA00475,SEA,00475
SEA00032,SEA,00032
SEA00311,SEA,00311
SEA00455,SEA,00455
SEA00313,SEA,00313
SEA00231,SEA,00231
SEA00055,SEA,00055
SEA00047,SEA,00047
SEA00104,SEA,00104
SEA00022,SEA,00022
SEA00045,SEA,00045
SEA00202,SEA,00202
SEA00477,SEA,00477
SEA00127,SEA,00127
SEA00280,SEA,00280
SEA00419,SEA,00419
SEA00405,SEA,00405
SEA00121,SEA,00121
SEA00068,SEA,00068
SEA00415,SEA,00415
SEA00486,SEA,00486
SEA00228,SEA,00228
SEA00348,SEA,00348
SEA00395,SEA,00395
SEA00258,SEA,00258
SEA00451,SEA,00451
SEA00191,SEA,00191
SEA00064,SEA,00064
SEA00317,SEA,00317
SEA00179,SEA,00179
SEA00460,SEA,00460
SEA00410,SEA,00410
SEA00326,SEA,00326
SEA00075,SEA,00075
SEA00303,SEA,00303
SEA00169,SEA,00169
SEA00046,SEA,00046
SEA00213,SEA,00213
SEA00047,SEA,00047
SEA00363,SEA,00363
SEA00391,SEA,00391
SEA00440,SEA,00440
SEA00189,SEA,00189
SEA00023,SEA,00023
SEA00472,SEA,00472
SEA00407,SEA,00407
SEA00096,SEA,00096
SEA00407,SEA,00407
SEA00105,SEA,00105
SEA00483,SEA,00483
SEA00493,SEA,00493
SEA00330,SEA,00330
SEA00275,SEA,00275
SEA00435,SEA,00435
SEA00306,SEA,00306
SEA00228,SEA,00228
SEA00443,SEA,00443
SEA00205,SEA,00205
SEA00452,SEA,00452
SEA00453,SEA,00453
SEA00477,SEA,00477
SEA00295,SEA,00295
SEA00387,SEA,00387
SEA00032,SEA,00032
SEA00475,SEA,00475
SEA00349,SEA,00349
SEA00239,SEA,00239
SEA00427,SEA,00427
SEA00463,SEA,00463
SEA00353,SEA,00353
SEA00058,SEA,00058
SEA00171,SEA,00171
SEA00106,SEA,00106
SEA00131,SEA,00131
SEA00305,SEA,00305
SEA00213,SEA,00213
SEA00221,SEA,00221
SEA00154,SEA,00154
SEA00228,SEA,00228
SEA00149,SEA,00149
SEA00433,SEA,00433
SEA00097,SEA,00097
SEA00046,SEA,00046
SEA00259,SEA,00259
SEA00079,SEA,00079
SEA00240,SEA,00240
SEA00030,SEA,00030
SEA00325,SEA,00325
SEA00309,SEA,00309
SEA00499,SEA,00499
SEA00358,SEA,00358
SEA00200,SEA,00200
SEA00245,SEA,00245
SEA00115,SEA,00115
SEA00385,SEA,00385
SEA00477,SEA,00477
SEA00171,SEA,00171
SEA00274,SEA,00274
SEA00069,SEA,00069
SEA00058,SEA,00058
SEA00051,SEA,00051
SEA00410,SEA,00410
SEA00272,SEA,00272
SEA00080,SEA,00080
SEA00293,SEA,00293
SEA00437,SEA,00437
SEA00364,SEA,00364
SEA00255,SEA,00255
SEA00104,SEA,00104
SEA00127,SEA,00127
SEA00455,SEA,00455
SEA00051,SEA,00051
SEA00431,SEA,00431
SEA00051,SEA,00051
SEA00393,SEA,00393
SEA00037,SEA,00037
SEA00371,SEA,00371
SEA00191,SEA,00191
SEA00223,SEA,00223
SEA00121,SEA,00121
SEA00500,SEA,00500
SEA00347,SEA,00347
SEA00325,SEA,00325
SEA00298,SEA,00298
SEA00425,SEA,00425
SEA00253,SEA,00253
SEA00485,SEA,00485
SEA00327,SEA,00327
SEA00398,SEA,00398
SEA00081,SEA,00081
SEA00250,SEA,00250
SEA00037,SEA,00037
SEA00074,SEA,00074
SEA00277,SEA,00277
SEA00214,SEA,00214
SEA00309,SEA,00309
SEA00127,SEA,00127
SEA00121,SEA,00121
SEA00229,SEA,00229
SEA00328,SEA,00328
SEA00438,SEA,00438
SEA00465,SEA,00465
SEA00099,SEA,00099
SEA00286,SEA,00286
SEA00312,SEA,00312
SEA00049,SEA,00049
SEA00491,SEA,00491
SEA00372,SEA,00372
SEA00431,SEA,00431
SEA00391,SEA,00391
SEA00240,SEA,00240
SEA00484,SEA,00484
SEA00073,SEA,00073
SEA00413,SEA,00413
SEA00108,SEA,00108
SEA00288,SEA,00288
SEA00206,SEA,00206
SEA00276,SEA,00276
SEA00358,SEA,00358
SEA00434,SEA,00434
SEA00049,SEA,00049
SEA00112,SEA,00112
SEA00484,SEA,00484
SEA00314,SEA,00314
SEA00122,SEA,00122
SEA00388,SEA,00388
SEA00483,SEA,00483
SEA00277,SEA,00277
SEA00389,SEA,00389
SEA00459,SEA,00459
SEA00069,SEA,00069
SEA00022,SEA,00022
SEA00326,SEA,00326
SEA00096,SEA,00096
SEA00465,SEA,00465
SEA00059,SEA,00059
SEA00165,SEA,00165
SEA00296,SEA,00296
SEA00158,SEA,00158
SEA00397,SEA,00397
SEA00449,SEA,00449
SEA00265,SEA,00265
SEA00182,SEA,00182
SEA00140,SEA,00140
SEA00492,SEA,00492
SEA00312,SEA,00312
SEA00283,SEA,00283
SEA00024,SEA,00024
SEA00235,SEA,00235
SEA00058,SEA,00058
SEA00261,SEA,00261
SEA00330,SEA,00330
SEA00296,SEA,00296
SEA00373,SEA,00373
SEA00392,SEA,00392
SEA00265,SEA,00265
SEA00212,SEA,00212
SEA00495,SEA,00495
SEA00430,SEA,00430
SEA00042,SEA,00042
SEA00315,SEA,00315
SEA00247,SEA,00247
SEA00183,SEA,00183
SEA00068,SEA,00068
SEA00441,SEA,00441
SEA00273,SEA,00273
SEA00067,SEA,00067
SEA00169,SEA,00169
SEA00230,SEA,00230
SEA00058,SEA,00058
SEA00394,SEA,00394
SEA00136,SEA,00136
SEA00452,SEA,00452
SEA00388,SEA,00388
SEA00201,SEA,00201
SEA00276,SEA,00276
SEA00136,SEA,00136
SEA00036,SEA,00036
SEA00323,SEA,00323
SEA00321,SEA,00321
SEA00449,SEA,00449
SEA00082,SEA,00082
SEA00453,SEA,00453
SEA00399,SEA,00399
SEA00478,SEA,00478
SEA00201,SEA,00201
SEA00058,SEA,00058
SEA00474,SEA,00474
SEA00481,SEA,00481
SEA00487,SEA,00487
SEA00033,SEA,00033
SEA00090,SEA,00090
SEA00362,SEA,00362
SEA00114,SEA,00114
SEA00263,SEA,00263
SEA00136,SEA,00136
SEA00324,SEA,00324
SEA00328,SEA,00328
SEA00318,SEA,00318
SEA00309,SEA,00309
SEA00373,SEA,00373
SEA00042,SEA,00042
SEA00030,SEA,00030
SEA00251,SEA,00251
SEA00390,SEA,00390
SEA00145,SEA,00145
SEA00407,SEA,00407
SEA00163,SEA,00163
SEA00037,SEA,00037
SEA00356,SEA,00356
SEA00200,SEA,00200
SEA00114,SEA,00114
SEA00242,SEA,00242
SEA00241,SEA,00241
SEA00404,SEA,00404
SEA00131,SEA,00131
SEA00144,SEA,00144
SEA00200,SEA,00200
SEA00266,SEA,00266
SEA00128,SEA,00128
SEA00229,SEA,00229
SEA00425,SEA,00425
SEA00451,SEA,00451
SEA00263,SEA,00263
SEA00318,SEA,00318
SEA00218,SEA,00218
SEA00109,SEA,00109
SEA00254,SEA,00254
SEA00068,SEA,00068
SEA00377,SEA,00377
SEA00081,SEA,00081
SEA00308,SEA,00308
SEA00429,SEA,00429
SEA00136,SEA,00136
SEA00343,SEA,00343
SEA00454,SEA,00454
SEA00264,SEA,00264
SEA00427,SEA,00427
SEA00241,SEA,00241
SEA00108,SEA,00108
SEA00307,SEA,00307
SEA00446,SEA,00446
SEA00310,SEA,00310
SEA00143,SEA,00143
SEA00199,SEA,00199
SEA00037,SEA,00037
SEA00320,SEA,00320
SEA00337,SEA,00337
SEA00081,SEA,00081
SEA00101,SEA,00101
SEA00301,SEA,00301
SEA00165,SEA,00165
SEA00089,SEA,00089
SEA00474,SEA,00474
SEA00170,SEA,00170
SEA00248,SEA,00248
SEA00249,SEA,00249
SEA00237,SEA,00237
SEA00276,SEA,00276
SEA00231,SEA,00231
SEA00274,SEA,00274
SEA00415,SEA,00415
SEA00082,SEA,00082
SEA00379,SEA,00379
SEA00349,SEA,00349
SEA00252,SEA,00252
SEA00335,SEA,00335
SEA00353,SEA,00353
SEA00431,SEA,00431
SEA00097,SEA,00097
SEA00038,SEA,00038
SEA00325,SEA,00325
SEA00373,SEA,00373
SEA00073,SEA,00073
SEA00162,SEA,00162
SEA00199,SEA,00199
SEA00059,SEA,00059
SEA00270,SEA,00270
SEA00357,SEA,00357
SEA00318,SEA,00318
SEA00326,SEA,00326
SEA00365,SEA,00365
SEA00364,SEA,00364
SEA00389,SEA,00389
SEA00479,SEA,00479
SEA00483,SEA,00483
SEA00312,SEA,00312
SEA00372,SEA,00372
SEA00419,SEA,00419
SEA00389,SEA,00389
SEA00380,SEA,00380
SEA00244,SEA,00244
SEA00145,SEA,00145
SEA00063,SEA,00063
SEA00222,SEA,00222
SEA00453,SEA,00453
SEA00327,SEA,00327
SEA00272,SEA,00272
SEA00405,SEA,00405
SEA00065,SEA,00065
SEA00140,SEA,00140
SEA00067,SEA,00067
SEA00200,SEA,00200
SEA00036,SEA,00036
SEA00396,SEA,00396
SEA00488,SEA,00488
SEA00198,SEA,00198
SEA00286,SEA,00286
SEA00038,SEA,00038
SEA00108,SEA,00108
SEA00474,SEA,00474
SEA00334,SEA,00334
SEA00368,SEA,00368
SEA00348,SEA,00348
SEA00366,SEA,00366
SEA00232,SEA,00232
SEA00383,SEA,00383
SEA00253,SEA,00253
SEA00386,SEA,00386
SEA00110,SEA,00110
SEA00307,SEA,00307
SEA00085,SEA,00085
SEA00461,SEA,00461
SEA00467,SEA,00467
SEA00453,SEA,00453
SEA00184,SEA,00184
SEA00249,SEA,00249
SEA00250,SEA,00250
SEA00138,SEA,00138
SEA00179,SEA,00179
SEA00166,SEA,00166
SEA00171,SEA,00171
SEA00110,SEA,00110
SEA00059,SEA,00059
SEA00483,SEA,00483
SEA00323,SEA,00323
SEA00119,SEA,00119
SEA00471,SEA,00471
SEA00112,SEA,00112
SEA00239,SEA,00239
SEA00087,SEA,00087
SEA00069,SEA,00069
SEA00456,SEA,00456
SEA00430,SEA,00430
SEA00108,SEA,00108
SEA00424,SEA,00424
SEA00337,SEA,00337
SEA00381,SEA,00381
SEA00085,SEA,00085
SEA00180,SEA,00180
SEA00047,SEA,00047
SEA00219,SEA,00219
SEA00486,SEA,00486
SEA00391,SEA,00391
SEA00373,SEA,00373
SEA00279,SEA,00279
SEA00052,SEA,00052
SEA00259,SEA,00259
SEA00027,SEA,00027
SEA00042,SEA,00042
SEA00218,SEA,00218
SEA00342,SEA,00342
SEA00431,SEA,00431
SEA00040,SEA,00040
SEA00181,SEA,00181
SEA00320,SEA,00320
SEA00424,SEA,00424
SEA00199,SEA,00199
SEA00403,SEA,00403
SEA00052,SEA,00052
SEA00451,SEA,00451
SEA00171,SEA,00171
SEA00329,SEA,00329
SEA00255,SEA,00255
SEA00058,SEA,00058
SEA00113,SEA,00113
SEA00043,SEA,00043
SEA00209,SEA,00209
SEA00064,SEA,00064
SEA00306,SEA,00306
SEA00154,SEA,00154
SEA00121,SEA,00121
SEA00403,SEA,00403
SEA00468,SEA,00468
SEA00271,SEA,00271
SEA00241,SEA,00241
SEA00410,SEA,00410
SEA00177,SEA,00177
SEA00471,SEA,00471
SEA00347,SEA,00347
SEA00224,SEA,00224
SEA00352,SEA,00352
SEA00433,SEA,00433
SEA00262,SEA,00262
SEA00137,SEA,00137
SEA00361,SEA,00361
SEA00414,SEA,00414
SEA00450,SEA,00450
SEA00151,SEA,00151
SEA00372,SEA,00372
SEA00389,SEA,00389
SEA00155,SEA,00155
SEA00145,SEA,00145
SEA00205,SEA,00205
SEA00149,SEA,00149
SEA00412,SEA,00412
SEA00429,SEA,00429
SEA00065,SEA,00065
SEA00116,SEA,00116
SEA00432,SEA,00432
SEA00316,SEA,00316
SEA00055,SEA,00055
SEA00382,SEA,00382
SEA00057,SEA,00057
SEA00327,SEA,00327
SEA00201,SEA,00201
SEA00059,SEA,00059
SEA00192,SEA,00192
SEA00073,SEA,00073
SEA00089,SEA,00089
SEA00283,SEA,00283
SEA00194,SEA,00194
SEA00294,SEA,00294
SEA00381,SEA,00381
SEA00279,SEA,00279
SEA00166,SEA,00166
SEA00212,SEA,00212
SEA00056,SEA,00056
SEA00232,SEA,00232
SEA00319,SEA,00319
SEA00039,SEA,00039
SEA00400,SEA,00400
SEA00210,SEA,00210
SEA00261,SEA,00261
SEA00145,SEA,00145
SEA00145,SEA,00145
SEA00036,SEA,00036
SEA00264,SEA,00264
SEA00160,SEA,00160
SEA00037,SEA,00037
SEA00233,SEA,00233
SEA00473,SEA,00473
SEA00064,SEA,00064
SEA00412,SEA,00412
SEA00189,SEA,00189
SEA00383,SEA,00383
SEA00057,SEA,00057
SEA00305,SEA,00305
SEA00367,SEA,00367
SEA00277,SEA,00277
SEA00410,SEA,00410
SEA00118,SEA,00118
SEA00091,SEA,00091
SEA00174,SEA,00174
SEA00500,SEA,00500
SEA00458,SEA,00458
SEA00121,SEA,00121
SEA00209,SEA,00209
SEA00199,SEA,00199
SEA00165,SEA,00165
SEA00408,SEA,00408
SEA00104,SEA,00104
SEA00206,SEA,00206
SEA00332,SEA,00332
SEA00232,SEA,00232
SEA00109,SEA,00109
SEA00488,SEA,00488
SEA00270,SEA,00270
SEA00079,SEA,00079
SEA00472,SEA,00472
SEA00054,SEA,00054
SEA00263,SEA,00263
SEA00374,SEA,00374
SEA00472,SEA,00472
SEA00392,SEA,00392
SEA00327,SEA,00327
SEA00129,SEA,00129
SEA00287,SEA,00287
SEA00468,SEA,00468
SEA00338,SEA,00338
SEA00474,SEA,00474
SEA00164,SEA,00164
SEA00247,SEA,00247
SEA00133,SEA,00133
SEA00267,SEA,00267
SEA00477,SEA,00477
SEA00173,SEA,00173
SEA00230,SEA,00230
SEA00124,SEA,00124
SEA00278,SEA,00278
SEA00091,SEA,00091
SEA00198,SEA,00198
SEA00490,SEA,00490
SEA00299,SEA,00299
SEA00428,SEA,00428
SEA00407,SEA,00407
SEA00111,SEA,00111
SEA00379,SEA,00379
SEA00051,SEA,00051
SEA00021,SEA,00021
SEA00137,SEA,00137
SEA00152,SEA,00152
SEA00373,SEA,00373
SEA00410,SEA,00410
SEA00488,SEA,00488
SEA00175,SEA,00175
SEA00046,SEA,00046
SEA00360,SEA,00360
SEA00483,SEA,00483
SEA00204,SEA,00204
SEA00401,SEA,00401
SEA00318,SEA,00318
SEA00239,SEA,00239
SEA00312,SEA,00312
SEA00048,SEA,00048
SEA00041,SEA,00041
SEA00027,SEA,00027
SEA00398,SEA,00398
SEA00373,SEA,00373
SEA00236,SEA,00236
SEA00202,SEA,00202
SEA00485,SEA,00485
SEA00429,SEA,00429
SEA00325,SEA,00325
SEA00110,SEA,00110
SEA00324,SEA,00324
SEA00186,SEA,00186
SEA00156,SEA,00156
SEA00212,SEA,00212
SEA00299,SEA,00299
SEA00443,SEA,00443
SEA00194,SEA,00194
SEA00280,SEA,00280
SEA00437,SEA,00437
SEA00394,SEA,00394
SEA00040,SEA,00040
SEA00346,SEA,00346
SEA00456,SEA,00456
SEA00235,SEA,00235
SEA00253,SEA,00253
SEA00106,SEA,00106
SEA00040,SEA,00040
SEA00161,SEA,00161
SEA00431,SEA,00431
SEA00028,SEA,00028
SEA00107,SEA,00107
SEA00265,SEA,00265
SEA00089,SEA,00089
SEA00102,SEA,00102
SEA00051,SEA,00051
SEA00239,SEA,00239
SEA00411,SEA,00411
SEA00204,SEA,00204
SEA00312,SEA,00312
SEA00461,SEA,00461
SEA00359,SEA,00359
SEA00222,SEA,00222
SEA00390,SEA,00390
SEA00094,SEA,00094
SEA00189,SEA,00189
SEA00453,SEA,00453
SEA00240,SEA,00240
SEA00299,SEA,00299
SEA00171,SEA,00171
SEA00335,SEA,00335
SEA00433,SEA,00433
SEA00232,SEA,00232
SEA00473,SEA,00473
SEA00492,SEA,00492
SEA00482,SEA,00482
SEA00144,SEA,00144
SEA00042,SEA,00042
SEA00128,SEA,00128
SEA00352,SEA,00352
SEA00128,SEA,00128
SEA00296,SEA,00296
SEA00430,SEA,00430
SEA00042,SEA,00042
SEA00286,SEA,00286
SEA00045,SEA,00045
SEA00299,SEA,00299
SEA00057,SEA,00057
SEA00181,SEA,00181
SEA00314,SEA,00314
SEA00203,SEA,00203
SEA00311,SEA,00311
SEA00097,SEA,00097
SEA00128,SEA,00128
SEA00224,SEA,00224
SEA00300,SEA,00300
SEA00093,SEA,00093
SEA00268,SEA,00268
SEA00356,SEA,00356
SEA00498,SEA,00498
SEA00294,SEA,00294
SEA00182,SEA,00182
SEA00038,SEA,00038
SEA00421,SEA,00421
SEA00046,SEA,00046
SEA00154,SEA,00154
SEA00410,SEA,00410
SEA00310,SEA,00310
SEA00049,SEA,00049
SEA00073,SEA,00073
SEA00422,SEA,00422
SEA00332,SEA,00332
SEA00062,SEA,00062
SEA00043,SEA,00043
SEA00029,SEA,00029
SEA00105,SEA,00105
SEA00180,SEA,00180
SEA00327,SEA,00327
SEA00307,SEA,00307
SEA00206,SEA,00206
SEA00330,SEA,00330
SEA00184,SEA,00184
SEA00193,SEA,00193
SEA00052,SEA,00052
SEA00251,SEA,00251
SEA00051,SEA,00051
SEA00454,SEA,00454
SEA00305,SEA,00305
SEA00440,SEA,00440
SEA00080,SEA,00080
SEA00055,SEA,00055
SEA00466,SEA,00466
SEA00241,SEA,00241
SEA00345,SEA,00345
SEA00374,SEA,00374
SEA00154,SEA,00154
SEA00250,SEA,00250
SEA00299,SEA,00299
SEA00147,SEA,00147
SEA00443,SEA,00443
SEA00099,SEA,00099
SEA00135,SEA,00135
SEA00349,SEA,00349
SEA00080,SEA,00080
SEA00352,SEA,00352
SEA00171,SEA,00171
SEA00089,SEA,00089
SEA00233,SEA,00233
SEA00362,SEA,00362
SEA00490,SEA,00490
SEA00165,SEA,00165
SEA00199,SEA,00199
SEA00057,SEA,00057
SEA00339,SEA,00339
SEA00297,SEA,00297
SEA00414,SEA,00414
SEA00235,SEA,00235
SEA00237,SEA,00237
SEA00074,SEA,00074
SEA00177,SEA,00177
SEA00095,SEA,00095
SEA00100,SEA,00100
SEA00038,SEA,00038
SEA00029,SEA,00029
SEA00108,SEA,00108
SEA00259,SEA,00259
SEA00079,SEA,00079
SEA00444,SEA,00444
SEA00289,SEA,00289
SEA00030,SEA,00030
SEA00292,SEA,00292
SEA00126,SEA,00126
SEA00035,SEA,00035
SEA00315,SEA,00315
SEA00178,SEA,00178
SEA00269,SEA,00269
SEA00174,SEA,00174
SEA00446,SEA,00446
SEA00447,SEA,00447
SEA00285,SEA,00285
SEA00307,SEA,00307
SEA00046,SEA,00046
SEA00110,SEA,00110
SEA00451,SEA,00451
SEA00326,SEA,00326
SEA00054,SEA,00054
SEA00119,SEA,00119
SEA00363,SEA,00363
SEA00158,SEA,00158
SEA00143,SEA,00143
SEA00363,SEA,00363
SEA00025,SEA,00025
SEA00253,SEA,00253
SEA00181,SEA,00181
SEA00173,SEA,00173
SEA00080,SEA,00080
SEA00454,SEA,00454
SEA00259,SEA,00259
SEA00410,SEA,00410
SEA00036,SEA,00036
SEA00023,SEA,00023
SEA00093,SEA,00093
SEA00351,SEA,00351
SEA00363,SEA,00363
SEA00361,SEA,00361
SEA00191,SEA,00191
SEA00271,SEA,00271
SEA00100,SEA,00100
SEA00082,SEA,00082
SEA00038,SEA,00038
SEA00265,SEA,00265
SEA00397,SEA,00397
SEA00067,SEA,00067
SEA00287,SEA,00287
SEA00430,SEA,00430
SEA00381,SEA,00381
SEA00497,SEA,00497
SEA00415,SEA,00415
SEA00249,SEA,00249
SEA00386,SEA,00386
SEA00388,SEA,00388
SEA00490,SEA,00490
SEA00053,SEA,00053
SEA00372,SEA,00372
SEA00091,SEA,00091
SEA00443,SEA,00443
SEA00447,SEA,00447
SEA00154,SEA,00154
SEA00210,SEA,00210
SEA00053,SEA,00053
SEA00404,SEA,00404
SEA00483,SEA,00483
SEA00180,SEA,00180
SEA00105,SEA,00105
SEA00475,SEA,00475
SEA00357,SEA,00357
SEA00390,SEA,00390
SEA00047,SEA,00047
SEA00153,SEA,00153
SEA00069,SEA,00069
SEA00246,SEA,00246
SEA00288,SEA,00288
SEA00376,SEA,00376
SEA00213,SEA,00213
SEA00483,SEA,00483
SEA00249,SEA,00249
SEA00217,SEA,00217
SEA00492,SEA,00492
SEA00179,SEA,00179
SEA00128,SEA,00128
SEA00220,SEA,00220
SEA00374,SEA,00374
SEA00216,SEA,00216
SEA00124,SEA,00124
SEA00463,SEA,00463
SEA00133,SEA,00133
SEA00193,SEA,00193
SEA00180,SEA,00180
SEA00310,SEA,00310
SEA00165,SEA,00165
SEA00234,SEA,00234
SEA00279,SEA,00279
SEA00394,SEA,00394
SEA00045,SEA,00045
SEA00258,SEA,00258
SEA00087,SEA,00087
SEA00389,SEA,00389
SEA00104,SEA,00104
SEA00347,SEA,00347
SEA00236,SEA,00236
SEA00156,SEA,00156
SEA00336,SEA,00336
SEA00303,SEA,00303
SEA00250,SEA,00250
SEA00058,SEA,00058
SEA00111,SEA,00111
SEA00285,SEA,00285
SEA00117,SEA,00117
SEA00035,SEA,00035
SEA00102,SEA,00102
SEA00047,SEA,00047
SEA00310,SEA,00310
SEA00450,SEA,00450
SEA00139,SEA,00139
SEA00403,SEA,00403
SEA00394,SEA,00394
SEA00399,SEA,00399
SEA00344,SEA,00344
SEA00337,SEA,00337
SEA00073,SEA,00073
SEA00159,SEA,00159
SEA00204,SEA,00204
SEA00330,SEA,00330
SEA00234,SEA,00234
SEA00368,SEA,00368
SEA00356,SEA,00356
SEA00154,SEA,00154
SEA00168,SEA,00168
SEA00053,SEA,00053
SEA00422,SEA,00422
SEA00251,SEA,00251
SEA00228,SEA,00228
SEA00303,SEA,00303
SEA00250,SEA,00250
SEA00147,SEA,00147
SEA00211,SEA,00211
SEA00297,SEA,00297
SEA00207,SEA,00207
SEA00195,SEA,00195
SEA00203,SEA,00203
SEA00149,SEA,00149
SEA00490,SEA,00490
SEA00149,SEA,00149
SEA00440,SEA,00440
SEA00243,SEA,00243
SEA00119,SEA,00119
SEA00290,SEA,00290
SEA00496,SEA,00496
SEA00089,SEA,00089
SEA00235,SEA,00235
SEA00169,SEA,00169
SEA00365,SEA,00365
SEA00113,SEA,00113
SEA00147,SEA,00147
SEA00084,SEA,00084
SEA00151,SEA,00151
SEA00443,SEA,00443
SEA00240,SEA,00240
SEA00490,SEA,00490
SEA00135,SEA,00135
SEA00212,SEA,00212
SEA00109,SEA,00109
SEA00458,SEA,00458
SEA00453,SEA,00453
